Setting MPI environment
Thread 3 from rank 0
Thread 4 from rank 0
Thread 2 from rank 0
Thread 5 from rank 0
Thread 1 from rank 0
Thread 0 from rank 0
Reading parameters:
	 rhs_function=1
	 nx=161
	 ny=161
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 26 0 161
I am writing output_source
Step 202, Diff=0.0262318
Step 203, Diff=0.0262116
Step 204, Diff=0.0261914
Step 205, Diff=0.0261712
Step 206, Diff=0.026151
Step 207, Diff=0.0261309
Step 208, Diff=0.0261107
Step 209, Diff=0.0260906
Step 210, Diff=0.0260705
Step 211, Diff=0.0260504
Step 212, Diff=0.0260303
Step 213, Diff=0.0260102
Step 214, Diff=0.0259902
Step 215, Diff=0.0259701
Step 216, Diff=0.0259501
Step 217, Diff=0.0259301
Step 218, Diff=0.0259101
Step 219, Diff=0.0258901
Step 220, Diff=0.0258702
Step 221, Diff=0.0258502
Step 222, Diff=0.0258303
Step 223, Diff=0.0258104
Step 224, Diff=0.0257905
Step 225, Diff=0.0257706
Step 226, Diff=0.0257507
Step 227, Diff=0.0257309
Step 228, Diff=0.025711
Step 229, Diff=0.0256912
Step 230, Diff=0.0256714
Step 231, Diff=0.0256516
Step 232, Diff=0.0256318
Step 233, Diff=0.0256121
Step 234, Diff=0.0255923
Step 235, Diff=0.0255726
Step 236, Diff=0.0255529
Step 237, Diff=0.0255332
Step 238, Diff=0.0255135
Step 239, Diff=0.0254938
Step 240, Diff=0.0254742
Step 241, Diff=0.0254545
Step 242, Diff=0.0254349
Step 243, Diff=0.0254153
Step 244, Diff=0.0253957
Step 245, Diff=0.0253761
Step 246, Diff=0.0253566
Step 247, Diff=0.025337
Step 248, Diff=0.0253175
Step 249, Diff=0.025298
Step 250, Diff=0.0252785
Step 251, Diff=0.025259
Step 252, Diff=0.0252395
Step 253, Diff=0.02522
Step 254, Diff=0.0252006
Step 255, Diff=0.0251812
Step 256, Diff=0.0251618
Step 257, Diff=0.0251424
Step 258, Diff=0.025123
Step 259, Diff=0.0251036
Step 260, Diff=0.0250843
Step 261, Diff=0.0250649
Step 262, Diff=0.0250456
Step 263, Diff=0.0250263
Step 264, Diff=0.025007
Step 265, Diff=0.0249877
Step 266, Diff=0.0249684
Step 267, Diff=0.0249492
Step 268, Diff=0.02493
Step 269, Diff=0.0249107
Step 270, Diff=0.0248915
Step 271, Diff=0.0248723
Step 272, Diff=0.0248532
Step 273, Diff=0.024834
Step 274, Diff=0.0248149
Step 275, Diff=0.0247957
Step 276, Diff=0.0247766
Step 277, Diff=0.0247575
Step 278, Diff=0.0247384
Step 279, Diff=0.0247193
Step 280, Diff=0.0247003
Step 281, Diff=0.0246812
Step 282, Diff=0.0246622
Step 283, Diff=0.0246432
Step 284, Diff=0.0246242
Step 285, Diff=0.0246052
Step 286, Diff=0.0245863
Step 287, Diff=0.0245673
Step 288, Diff=0.0245484
Step 289, Diff=0.0245294
Step 290, Diff=0.0245105
Step 291, Diff=0.0244916
Step 292, Diff=0.0244727
Step 293, Diff=0.0244539
Step 294, Diff=0.024435
Step 295, Diff=0.0244162
Step 296, Diff=0.0243974
Step 297, Diff=0.0243785
Step 298, Diff=0.0243598
Step 299, Diff=0.024341
Step 300, Diff=0.0243222
Step 301, Diff=0.0243035
Step 302, Diff=0.0242847
Step 303, Diff=0.024266
Step 304, Diff=0.0242473
Step 305, Diff=0.0242286
Step 306, Diff=0.0242099
Step 307, Diff=0.0241912
Step 308, Diff=0.0241726
Step 309, Diff=0.024154
Step 310, Diff=0.0241353
Step 311, Diff=0.0241167
Step 312, Diff=0.0240981
Step 313, Diff=0.0240796
Step 314, Diff=0.024061
Step 315, Diff=0.0240424
