params: /var/spool/slurmd/job30981487/slurm_script, params_1024.txt, 
Setting MPI environment
Reading parameters:
	 rhs_function=2
	 nx=1024
	 ny=1024
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
	 domain_decomposition=2
	 communication=2
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 256 0 1024
I am rank 0, my neighbours are: left: -1, right: 1, bottom: -1, top: -1
I am writing output_source
Step 197, Diff=9.28562e-05
Step 198, Diff=9.25014e-05
Step 199, Diff=9.21497e-05
Step 200, Diff=9.18011e-05
Step 201, Diff=9.14556e-05
Step 202, Diff=9.1113e-05
Step 203, Diff=9.07734e-05
Step 204, Diff=9.04368e-05
Step 205, Diff=9.0103e-05
Step 206, Diff=8.9772e-05
Step 207, Diff=8.94439e-05
Step 208, Diff=8.91185e-05
Step 209, Diff=8.87959e-05
Step 210, Diff=8.84759e-05
Step 211, Diff=8.81586e-05
Step 212, Diff=8.7844e-05
Step 213, Diff=8.75319e-05
Step 214, Diff=8.72224e-05
Step 215, Diff=8.69154e-05
Step 216, Diff=8.66109e-05
Step 217, Diff=8.63089e-05
Step 218, Diff=8.60092e-05
Step 219, Diff=8.5712e-05
Step 220, Diff=8.54172e-05
Step 221, Diff=8.51247e-05
Step 222, Diff=8.48345e-05
Step 223, Diff=8.45466e-05
Step 224, Diff=8.4261e-05
Step 225, Diff=8.39775e-05
Step 226, Diff=8.36963e-05
Step 227, Diff=8.34173e-05
Step 228, Diff=8.31404e-05
Step 229, Diff=8.28656e-05
Step 230, Diff=8.25929e-05
Step 231, Diff=8.23223e-05
Step 232, Diff=8.20537e-05
Step 233, Diff=8.17872e-05
Step 234, Diff=8.15226e-05
Step 235, Diff=8.126e-05
Step 236, Diff=8.09994e-05
Step 237, Diff=8.07407e-05
Step 238, Diff=8.04839e-05
Step 239, Diff=8.0229e-05
Step 240, Diff=7.9976e-05
Step 241, Diff=7.97248e-05
Step 242, Diff=7.94754e-05
Step 243, Diff=7.92278e-05
Step 244, Diff=7.8982e-05
Step 245, Diff=7.8738e-05
Step 246, Diff=7.84956e-05
Step 247, Diff=7.82551e-05
Step 248, Diff=7.80162e-05
Step 249, Diff=7.7779e-05
Step 250, Diff=7.75435e-05
Step 251, Diff=7.73096e-05
Step 252, Diff=7.70773e-05
Step 253, Diff=7.68466e-05
Step 254, Diff=7.66176e-05
Step 255, Diff=7.63901e-05
Step 256, Diff=7.61642e-05
Step 257, Diff=7.59398e-05
Step 258, Diff=7.57169e-05
Step 259, Diff=7.54956e-05
Step 260, Diff=7.52757e-05
Step 261, Diff=7.50574e-05
Step 262, Diff=7.48404e-05
Step 263, Diff=7.4625e-05
Step 264, Diff=7.44109e-05
Step 265, Diff=7.41983e-05
Step 266, Diff=7.39871e-05
Step 267, Diff=7.37773e-05
Step 268, Diff=7.35688e-05
Step 269, Diff=7.33617e-05
Step 270, Diff=7.31559e-05
Step 271, Diff=7.29515e-05
