params: /var/spool/slurmd/job30980539/slurm_script, params_128.txt, 
Setting MPI environment
Reading parameters:
	 rhs_function=2
	 nx=128
	 ny=128
	 foutput=100000
	 nstep_max=100000
	 tolerance=1e-08
	 domain_decomposition=2
	 communication=2
I am rank 0 and my domain is: xmin, xmax, ymin, ymax: 0 128 0 128
I am rank 0, my neighbours are: left: -1, right: -1, bottom: -1, top: -1
I am writing output_source
Step 200, Diff=0.000238345
Step 201, Diff=0.000237391
Step 202, Diff=0.000236445
Step 203, Diff=0.000235507
Step 204, Diff=0.000234578
Step 205, Diff=0.000233657
Step 206, Diff=0.000232743
Step 207, Diff=0.000231838
Step 208, Diff=0.00023094
Step 209, Diff=0.000230049
Step 210, Diff=0.000229166
Step 211, Diff=0.000228291
Step 212, Diff=0.000227423
Step 213, Diff=0.000226562
Step 214, Diff=0.000225708
Step 215, Diff=0.000224861
Step 216, Diff=0.000224021
Step 217, Diff=0.000223188
Step 218, Diff=0.000222361
Step 219, Diff=0.000221541
Step 220, Diff=0.000220728
Step 221, Diff=0.000219922
Step 222, Diff=0.000219121
Step 223, Diff=0.000218327
Step 224, Diff=0.00021754
Step 225, Diff=0.000216758
Step 226, Diff=0.000215983
Step 227, Diff=0.000215214
Step 228, Diff=0.00021445
Step 229, Diff=0.000213693
Step 230, Diff=0.000212941
Step 231, Diff=0.000212195
Step 232, Diff=0.000211455
Step 233, Diff=0.00021072
Step 234, Diff=0.000209991
Step 235, Diff=0.000209267
Step 236, Diff=0.000208549
Step 237, Diff=0.000207836
Step 238, Diff=0.000207129
Step 239, Diff=0.000206426
Step 240, Diff=0.000205729
Step 241, Diff=0.000205037
Step 242, Diff=0.00020435
Step 243, Diff=0.000203668
Step 244, Diff=0.000202991
Step 245, Diff=0.000202319
Step 246, Diff=0.000201651
Step 247, Diff=0.000200989
Step 248, Diff=0.000200331
Step 249, Diff=0.000199678
Step 250, Diff=0.000199029
Step 251, Diff=0.000198385
Step 252, Diff=0.000197746
Step 253, Diff=0.00019711
Step 254, Diff=0.00019648
Step 255, Diff=0.000195854
Step 256, Diff=0.000195232
Step 257, Diff=0.000194614
Step 258, Diff=0.000194
Step 259, Diff=0.000193391
Step 260, Diff=0.000192786
Step 261, Diff=0.000192185
Step 262, Diff=0.000191588
Step 263, Diff=0.000190995
Step 264, Diff=0.000190406
Step 265, Diff=0.000189821
Step 266, Diff=0.00018924
Step 267, Diff=0.000188662
Step 268, Diff=0.000188089
Step 269, Diff=0.000187519
Step 270, Diff=0.000186953
Step 271, Diff=0.00018639
Step 272, Diff=0.000185832
Step 273, Diff=0.000185277
Step 274, Diff=0.000184725
Step 275, Diff=0.000184177
Step 276, Diff=0.000183633
Step 277, Diff=0.000183092
Step 278, Diff=0.000182554
Step 279, Diff=0.00018202
Step 280, Diff=0.000181489
Step 281, Diff=0.000180962
Step 282, Diff=0.000180438
Step 283, Diff=0.000179917
Step 284, Diff=0.000179399
Step 285, Diff=0.000178885
Step 286, Diff=0.000178373
Step 287, Diff=0.000177865
Step 288, Diff=0.00017736
Step 289, Diff=0.000176858
Step 290, Diff=0.000176359
Step 291, Diff=0.000175864
Step 292, Diff=0.000175371
Step 293, Diff=0.000174881
Step 294, Diff=0.000174394
Step 295, Diff=0.00017391
Step 296, Diff=0.000173429
Step 297, Diff=0.000172951
Step 298, Diff=0.000172475
Step 299, Diff=0.000172003
Step 300, Diff=0.000171533
Step 301, Diff=0.000171066
Step 302, Diff=0.000170602
Step 303, Diff=0.00017014
Step 304, Diff=0.000169681
Step 305, Diff=0.000169225
Step 306, Diff=0.000168771
Step 307, Diff=0.00016832
Step 308, Diff=0.000167872
Step 309, Diff=0.000167426
Step 310, Diff=0.000166982
Step 311, Diff=0.000166542
Step 312, Diff=0.000166103
Step 313, Diff=0.000165667
Step 314, Diff=0.000165234
Step 315, Diff=0.000164803
Step 316, Diff=0.000164374
Step 317, Diff=0.000163948
Step 318, Diff=0.000163524
Step 319, Diff=0.000163103
Step 320, Diff=0.000162684
Step 321, Diff=0.000162267
Step 322, Diff=0.000161853
Step 323, Diff=0.00016144
Step 324, Diff=0.00016103
Step 325, Diff=0.000160622
Step 326, Diff=0.000160217
Step 327, Diff=0.000159813
Step 328, Diff=0.000159412
Step 329, Diff=0.000159013
Step 330, Diff=0.000158616
Step 331, Diff=0.000158221
Step 332, Diff=0.000157829
Step 333, Diff=0.000157438
Step 334, Diff=0.00015705
Step 335, Diff=0.000156663
Step 336, Diff=0.000156279
Step 337, Diff=0.000155896
Step 338, Diff=0.000155516
Step 339, Diff=0.000155137
Step 340, Diff=0.000154761
Step 341, Diff=0.000154386
Step 342, Diff=0.000154014
Step 343, Diff=0.000153643
Step 344, Diff=0.000153274
Step 345, Diff=0.000152907
Step 346, Diff=0.000152542
Step 347, Diff=0.000152179
Step 348, Diff=0.000151818
Step 349, Diff=0.000151458
Step 350, Diff=0.0001511
Step 351, Diff=0.000150745
Step 352, Diff=0.00015039
Step 353, Diff=0.000150038
Step 354, Diff=0.000149688
Step 355, Diff=0.000149339
Step 356, Diff=0.000148992
Step 357, Diff=0.000148646
Step 358, Diff=0.000148303
Step 359, Diff=0.000147961
Step 360, Diff=0.00014762
Step 361, Diff=0.000147282
Step 362, Diff=0.000146945
Step 363, Diff=0.000146609
Step 364, Diff=0.000146276
Step 365, Diff=0.000145944
Step 366, Diff=0.000145613
Step 367, Diff=0.000145284
Step 368, Diff=0.000144957
Step 369, Diff=0.000144631
Step 370, Diff=0.000144307
Step 371, Diff=0.000143984
Step 372, Diff=0.000143663
Step 373, Diff=0.000143344
Step 374, Diff=0.000143026
Step 375, Diff=0.000142709
Step 376, Diff=0.000142394
Step 377, Diff=0.00014208
Step 378, Diff=0.000141768
Step 379, Diff=0.000141457
Step 380, Diff=0.000141148
Step 381, Diff=0.00014084
Step 382, Diff=0.000140534
Step 383, Diff=0.000140229
Step 384, Diff=0.000139925
Step 385, Diff=0.000139623
Step 386, Diff=0.000139322
Step 387, Diff=0.000139023
Step 388, Diff=0.000138725
Step 389, Diff=0.000138428
Step 390, Diff=0.000138133
Step 391, Diff=0.000137839
Step 392, Diff=0.000137546
Step 393, Diff=0.000137255
Step 394, Diff=0.000136965
Step 395, Diff=0.000136676
Step 396, Diff=0.000136388
Step 397, Diff=0.000136102
Step 398, Diff=0.000135817
Step 399, Diff=0.000135533
Step 400, Diff=0.000135251
Step 401, Diff=0.00013497
Step 402, Diff=0.00013469
Step 403, Diff=0.000134411
Step 404, Diff=0.000134134
Step 405, Diff=0.000133857
Step 406, Diff=0.000133582
Step 407, Diff=0.000133308
Step 408, Diff=0.000133036
Step 409, Diff=0.000132764
Step 410, Diff=0.000132494
Step 411, Diff=0.000132225
Step 412, Diff=0.000131957
Step 413, Diff=0.00013169
Step 414, Diff=0.000131424
Step 415, Diff=0.000131159
Step 416, Diff=0.000130896
Step 417, Diff=0.000130633
Step 418, Diff=0.000130372
Step 419, Diff=0.000130112
Step 420, Diff=0.000129853
Step 421, Diff=0.000129595
Step 422, Diff=0.000129338
Step 423, Diff=0.000129082
Step 424, Diff=0.000128827
Step 425, Diff=0.000128574
Step 426, Diff=0.000128321
Step 427, Diff=0.000128069
Step 428, Diff=0.000127819
Step 429, Diff=0.000127569
Step 430, Diff=0.000127321
Step 431, Diff=0.000127073
Step 432, Diff=0.000126827
Step 433, Diff=0.000126581
Step 434, Diff=0.000126337
Step 435, Diff=0.000126093
Step 436, Diff=0.000125851
Step 437, Diff=0.000125609
Step 438, Diff=0.000125369
Step 439, Diff=0.000125129
Step 440, Diff=0.000124891
Step 441, Diff=0.000124653
Step 442, Diff=0.000124416
Step 443, Diff=0.000124181
Step 444, Diff=0.000123946
Step 445, Diff=0.000123712
Step 446, Diff=0.000123479
Step 447, Diff=0.000123247
Step 448, Diff=0.000123016
Step 449, Diff=0.000122786
Step 450, Diff=0.000122556
Step 451, Diff=0.000122328
Step 452, Diff=0.0001221
Step 453, Diff=0.000121874
Step 454, Diff=0.000121648
Step 455, Diff=0.000121423
Step 456, Diff=0.000121199
Step 457, Diff=0.000120976
Step 458, Diff=0.000120754
Step 459, Diff=0.000120532
Step 460, Diff=0.000120312
Step 461, Diff=0.000120092
Step 462, Diff=0.000119873
Step 463, Diff=0.000119655
Step 464, Diff=0.000119438
Step 465, Diff=0.000119222
Step 466, Diff=0.000119006
Step 467, Diff=0.000118791
Step 468, Diff=0.000118577
Step 469, Diff=0.000118364
Step 470, Diff=0.000118152
Step 471, Diff=0.00011794
Step 472, Diff=0.00011773
Step 473, Diff=0.00011752
Step 474, Diff=0.00011731
Step 475, Diff=0.000117102
Step 476, Diff=0.000116894
Step 477, Diff=0.000116688
Step 478, Diff=0.000116481
Step 479, Diff=0.000116276
Step 480, Diff=0.000116072
Step 481, Diff=0.000115868
Step 482, Diff=0.000115665
Step 483, Diff=0.000115462
Step 484, Diff=0.000115261
Step 485, Diff=0.00011506
Step 486, Diff=0.00011486
Step 487, Diff=0.00011466
Step 488, Diff=0.000114462
Step 489, Diff=0.000114264
Step 490, Diff=0.000114067
Step 491, Diff=0.00011387
Step 492, Diff=0.000113674
Step 493, Diff=0.000113479
Step 494, Diff=0.000113285
Step 495, Diff=0.000113091
Step 496, Diff=0.000112898
Step 497, Diff=0.000112706
Step 498, Diff=0.000112514
Step 499, Diff=0.000112323
Step 500, Diff=0.000112133
Step 501, Diff=0.000111943
Step 502, Diff=0.000111754
Step 503, Diff=0.000111566
Step 504, Diff=0.000111378
Step 505, Diff=0.000111191
Step 506, Diff=0.000111005
Step 507, Diff=0.000110819
Step 508, Diff=0.000110634
Step 509, Diff=0.00011045
Step 510, Diff=0.000110266
Step 511, Diff=0.000110083
Step 512, Diff=0.0001099
Step 513, Diff=0.000109718
Step 514, Diff=0.000109537
Step 515, Diff=0.000109356
Step 516, Diff=0.000109176
Step 517, Diff=0.000108997
Step 518, Diff=0.000108818
Step 519, Diff=0.00010864
Step 520, Diff=0.000108463
Step 521, Diff=0.000108286
Step 522, Diff=0.000108109
Step 523, Diff=0.000107934
Step 524, Diff=0.000107758
Step 525, Diff=0.000107584
Step 526, Diff=0.00010741
Step 527, Diff=0.000107236
Step 528, Diff=0.000107064
Step 529, Diff=0.000106891
Step 530, Diff=0.00010672
Step 531, Diff=0.000106549
Step 532, Diff=0.000106378
Step 533, Diff=0.000106208
Step 534, Diff=0.000106039
Step 535, Diff=0.00010587
Step 536, Diff=0.000105701
Step 537, Diff=0.000105534
Step 538, Diff=0.000105367
Step 539, Diff=0.0001052
Step 540, Diff=0.000105034
Step 541, Diff=0.000104868
Step 542, Diff=0.000104703
Step 543, Diff=0.000104539
Step 544, Diff=0.000104375
Step 545, Diff=0.000104211
Step 546, Diff=0.000104049
Step 547, Diff=0.000103886
Step 548, Diff=0.000103724
Step 549, Diff=0.000103563
Step 550, Diff=0.000103402
Step 551, Diff=0.000103242
Step 552, Diff=0.000103082
Step 553, Diff=0.000102923
Step 554, Diff=0.000102764
Step 555, Diff=0.000102606
Step 556, Diff=0.000102448
Step 557, Diff=0.000102291
Step 558, Diff=0.000102134
Step 559, Diff=0.000101978
Step 560, Diff=0.000101822
Step 561, Diff=0.000101667
Step 562, Diff=0.000101512
Step 563, Diff=0.000101358
Step 564, Diff=0.000101204
Step 565, Diff=0.000101051
Step 566, Diff=0.000100898
Step 567, Diff=0.000100746
Step 568, Diff=0.000100594
Step 569, Diff=0.000100443
Step 570, Diff=0.000100292
Step 571, Diff=0.000100141
Step 572, Diff=9.99911e-05
Step 573, Diff=9.98416e-05
Step 574, Diff=9.96925e-05
Step 575, Diff=9.95439e-05
Step 576, Diff=9.93957e-05
Step 577, Diff=9.9248e-05
Step 578, Diff=9.91007e-05
